departamento;municipio;vereda
VALLE;PALMIRA;CAUCASECO
VALLE;PALMIRA;GUANABANAL
VALLE;PALMIRA;JUANCHITO
VALLE;PALMIRA;POTRERILLO
VALLE;PALMIRA;TABLONES
VALLE;PALMIRA;PALMASECA
VALLE;PALMIRA;LA BALASTRERA
VALLE;PALMIRA;CIUDAD DEL CAMPO
VALLE;PALMIRA;SIN DATO
VALLE;PALMIRA;EXPANSION URBANA
VALLE;PALMIRA;NO APLICA
VALLE;PRADERA;BOLÍVAR
VALLE;RESTREPO;AGUALINDA
VALLE;RESTREPO;EL AGRADO
VALLE;RESTREPO;RÍIÍO GRANDE
VALLE;RESTREPO;ROMÁN
VALLE;RESTREPO;ALTO DEL OSO
VALLE;RESTREPO;ALTO DEL OSO
VALLE;RESTREPO;SIN DATO
VALLE;RESTREPO;SIN DATO
VALLE;RIOFRIO;NO APLICA
VALLE;RIOFRIO;SIN DEFINIR
VALLE;RIOFRIO;NO APLICA
VALLE;RIOFRIO;SIN DATO
VALLE;RIOFRIO;SIN DATO
VALLE;RIOFRIO;SIN DATO
VALLE;RIOFRIO;SIN DATO
VALLE;RIOFRIO;NO APLICA
VALLE;RIOFRIO;RIOFRÍO
VALLE;RIOFRIO;NO APLICA
VALLE;ROLDANILLO;SIN DATO
VALLE;ROLDANILLO;SIN DATO
VALLE;ROLDANILLO;SIN DATO
VALLE;ROLDANILLO;SIN DATO
VALLE;SAN PEDRO;SIN DATO
VALLE;SEVILLA;SIN DATO
VALLE;SEVILLA;SIN DATO
VALLE;SEVILLA;NO APLICA
VALLE;CALI;EL BANQUEO
VALLE;BUENAVENTURA;NO APLICA
VALLE;DAGUA;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;EL AGUILA;SIN DATO
VALLE;EL AGUILA;SIN DATO
VALLE;EL CAIRO;SIN DATO
VALLE;EL CAIRO;ALTO BONITO
VALLE;EL DOVIO;SIN DATO
VALLE;LA CUMBRE;SANTA FE
VALLE;LA CUMBRE;SIN DATO
VALLE;PRADERA;SAN ISIDRO
VALLE;PRADERA;EL RECREO
VALLE;RESTREPO;ALTO ZABALETA
VALLE;ROLDANILLO;MATEGUADA
VALLE;TULUA;SIN DATO
VALLE;TULUA;EXPANSION URBANA
VALLE;TULUA;QUEBRADAGRANDE
VALLE;TULUA;SIN DATO
VALLE;VIJES;LA FRESNEDA
VALLE;YOTOCO;SIN DATO
VALLE;YUMBO;MIRAVALLE DAPA
VALLE;TORO;BOLIVAR
VALLE;TORO;SIN DATO
VALLE;TORO;SIN DATO
VALLE;TORO;SIN DATO
VALLE;TORO;SIN DATO
VALLE;BOLIVAR;CERRO AZUL
VALLE;TULUA;LA MORALIA
VALLE;TULUA;SIN DATO
VALLE;TULUA;NO APLICA
VALLE;TULUA;NO APLICA
VALLE;TULUA;NO APLICA
VALLE;TULUA;NO APLICA
VALLE;ULLOA;EL BRILLANTE
VALLE;ULLOA;EL PLACER
VALLE;VERSALLES;NO APLICA
VALLE;VERSALLES;SIN DATO
VALLE;VERSALLES;SIN DATO
VALLE;VIJES;SIN DATO
VALLE;VIJES;SIN DATO
VALLE;YOTOCO;SIN DATO
VALLE;YOTOCO;CORDOBITAS
VALLE;YOTOCO;DOPO
VALLE;YOTOCO;EL DELIRIO
VALLE;YOTOCO;LA COLONIA
VALLE;YOTOCO;LAS DELICIAS
VALLE;YOTOCO;LOS PLANES
VALLE;YOTOCO;MUÑECOS
VALLE;YOTOCO;PUENTETIERRA
VALLE;YOTOCO;SIN DATO
VALLE;YOTOCO;SIN DATO
VALLE;YUMBO;PASO DE LA TORRE
VALLE;YUMBO;SALAZAR
VALLE;YUMBO;SIN DATO
VALLE;YUMBO;SIN DATO
VALLE;YUMBO;SIN DATO
VALLE;VIJES;NO APLICA
VALLE;YUMBO;NO APLICA
VALLE;TULUA;LA MARINA
VALLE;YUMBO;NO APLICA
VALLE;YUMBO;NO APLICA
VALLE;YUMBO;ALTO DAPA
VALLE;JAMUNDI;NO APLICA
VALLE;CALI;CAMPO ALEGRE
VALLE;CALI;PICHINDÉ
VALLE;DAGUA;BORRERO AYERBE
VALLE;CALI;GOLONDRINAS
VALLE;DAGUA;EL CARMEN
VALLE;YUMBO;YUMBILLO
VALLE;YUMBO;NO APLICA
VALLE;CALI;LA LUISA
VALLE;YUMBO;NO APLICA
VALLE;YUMBO;TELECOM
VALLE;VIJES;SIN DATO
VALLE;LA CUMBRE;SIN DATO
VALLE;CALI;LAS PALMAS
VALLE;CALI;LA VORAGINE
VALLE;CALI;NO APLICA
VALLE;YOTOCO;CALIMITA
VALLE;CALIMA;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;CALI;EL CABUYAL
VALLE;CALI;EL HORMIGUERO
VALLE;DAGUA;SIN DATO
VALLE;YUMBO;NO APLICA
VALLE;YUMBO;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;CALI;LA SIRENA
VALLE;CALI;LA CASTILLA
VALLE;CALI;LA LEONERA
VALLE;CALI;VILLACARMELO
VALLE;CALI;LA PAZ
VALLE;JAMUNDI;ROBLES
VALLE;CALI;LA ELVIRA
VALLE;LA CUMBRE;SIN DATO
VALLE;DAGUA;EL PINAL
VALLE;CALI;EL ESTERO
VALLE;CALI;EL HORMIGUERO
VALLE;CALI;LA SOLEDAD
VALLE;CALI;MORGAN
VALLE;CALI;ROSARIO
VALLE;CALI;LA PAILA
VALLE;CALI;EL BANQUEO
VALLE;CALI;CASCAJAL
VALLE;YUMBO;NO APLICA
VALLE;CALI;LA FELIDIA
VALLE;RESTREPO;NO APLICA
VALLE;DAGUA;SIN DATO
VALLE;YUMBO;NO APLICA
VALLE;LA CUMBRE;LA VENTURA
VALLE;YOTOCO;JIGUALES
VALLE;JAMUNDI;PORERITO
VALLE;LA CUMBRE;SIN DATO
VALLE;RESTREPO;SIN DATO
VALLE;CALI;LA REFORMA
VALLE;DAGUA;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;YUMBO;EL CHOCHO
VALLE;CALIMA;SIN DATO
VALLE;YUMBO;XIXAOLA
VALLE;DAGUA;SIN DATO
VALLE;VIJES;SIN DATO
VALLE;RESTREPO;EL CHONTADURO
VALLE;VIJES;SIN DATO
VALLE;YUMBO;NO APLICA
VALLE;DAGUA;SIN DATO
VALLE;JAMUNDI;NO APLICA
VALLE;CALI;LA ELVIRA
VALLE;RESTREPO;POTRERILLO
VALLE;DAGUA;EL PALMAR
VALLE;RESTREPO;SANTA ROSA
VALLE;CALI;MONACO
VALLE;YOTOCO;SAN ANTONIO DE PIEDRAS
VALLE;CALI;EL MAMEYAL
VALLE;CALI;EL CABUYAL
VALLE;YUMBO;NO APLICA
VALLE;RESTREPO;SAN PABLO
VALLE;YOTOCO;JIGUALES
VALLE;CALI;LA SIRENA
VALLE;GUADALAJARA DE BUGA;ZANJON HONDO
VALLE;PALMIRA;TABLONES
VALLE;CANDELARIA;POBLADO CAMPESTRE
VALLE;GINEBRA;SIN DATO
VALLE;EL CERRITO;SIN DATO
VALLE;CANDELARIA;SAN JOAQUIN
VALLE;CANDELARIA;ARENAL
VALLE;GUADALAJARA DE BUGA;NO APLICA
VALLE;GUADALAJARA DE BUGA;SIN DATO
VALLE;CANDELARIA;ARENAL
VALLE;GUADALAJARA DE BUGA;CHAMBIMBAL
VALLE;GUADALAJARA DE BUGA;CHAMBIMBAL
VALLE;GUADALAJARA DE BUGA;EL VINCULO
VALLE;CANDELARIA;VILLAGORGONA
VALLE;GUADALAJARA DE BUGA;SIN DATO
VALLE;EL CERRITO;EL CASTILLO
VALLE;FLORIDA;SIN DATO
VALLE;GUACARI;SIN DATO
VALLE;RIOFRIO;PORTUGAL DE PIEDRAS
VALLE;RIOFRIO;RIOFRÍO
VALLE;RIOFRIO;FENICIA
VALLE;TULUA;SIN DATO
VALLE;TULUA;SIN DATO
VALLE;TULUA;TRES ESQUINAS
VALLE;TRUJILLO;SIN DATO
VALLE;TULUA;NARIÑO
VALLE;TULUA;NO APLICA
VALLE;BUGALAGRANDE;CEILAN
VALLE;ULLOA;SIN DATO
VALLE;EL DOVIO;SIN DATO
VALLE;RIOFRIO;RIOFRÍO
VALLE;ARGELIA;SIN DATO
VALLE;TRUJILLO;SIN DATO
VALLE;SEVILLA;EL MANZANILLO
VALLE;CAICEDONIA;LA RIVERA
VALLE;BOLIVAR;RICAURTE
VALLE;SAN PEDRO;SAN JOSE
VALLE;TULUA;NO APLICA
VALLE;ROLDANILLO;SIN DATO
VALLE;ZARZAL;SIN DATO
VALLE;TORO;SIN DATO
VALLE;ARGELIA;EXPANSION URBANA
VALLE;TRUJILLO;SIN DATO
VALLE;BOLIVAR;SIN DATO
VALLE;ANSERMANUEVO;SIN DATO
VALLE;SAN PEDRO;LOS CHANCOS
VALLE;SEVILLA;SIN DEFINIR
VALLE;BOLIVAR;LA HERRADURA
VALLE;DAGUA;EL QUEREMAL
VALLE;OBANDO;SIN DATO
VALLE;ARGELIA;SIN DATO
VALLE;YUMBO;NO APLICA
VALLE;YUMBO;MANGA VIEJA
VALLE;BOLIVAR;SIN DATO
VALLE;CAICEDONIA;SAMARIA
VALLE;YUMBO;SIN DATO
VALLE;LA UNION;SIN DATO
VALLE;TRUJILLO;SIN DATO
VALLE;BUENAVENTURA;SIN DATO
VALLE;CARTAGO;SIN DATO
VALLE;YUMBO;NO APLICA
VALLE;CANDELARIA;SIN DATO
VALLE;CALI;NO APLICA
VALLE;LA CUMBRE;EL RETIRO
VALLE;CALI;NO APLICA
VALLE;YUMBO;NO APLICA
VALLE;CANDELARIA;JUANCHITO
VALLE;CALI;SIN DATO
VALLE;JAMUNDI;NO APLICA
VALLE;ROLDANILLO;SIN DATO
VALLE;TRUJILLO;NO APLICA
VALLE;VIJES;SIN DATO
VALLE;ANDALUCIA;SIN DATO
VALLE;GUACARI;NO APLICA
VALLE;RIOFRIO;NO APLICA
VALLE;RESTREPO;SIN DATO
VALLE;EL CAIRO;NO APLICA
VALLE;EL AGUILA;SIN DATO
VALLE;LA UNION;SIN DATO
VALLE;OBANDO;SIN DATO
VALLE;FLORIDA;SIN DATO
VALLE;EL DOVIO;SIN DATO
VALLE;YOTOCO;NO APLICA
VALLE;ALCALA;SIN DATO
VALLE;BUGALAGRANDE;SIN DATO
VALLE;RESTREPO;SIN DATO
VALLE;TORO;SIN DATO
VALLE;BOLIVAR;SIN DATO
VALLE;GINEBRA;NO APLICA
VALLE;LA VICTORIA;NO APLICA
VALLE;ZARZAL;SIN DATO
VALLE;ARGELIA;SIN DATO
VALLE;ULLOA;SIN DATO
VALLE;DAGUA;EL CARMEN
VALLE;EL CERRITO;SIN DATO
VALLE;DAGUA;NO APLICA
VALLE;ANSERMANUEVO;SIN DATO
VALLE;CAICEDONIA;SIN DATO
VALLE;CANDELARIA;CANDELARIA
VALLE;PRADERA;SIN DATO
VALLE;SAN PEDRO;NO APLICA
VALLE;LA CUMBRE;SIN DATO
VALLE;SEVILLA;SIN DATO
VALLE;RIOFRIO;SIN DEFINIR
VALLE;RIOFRIO;NO APLICA
VALLE;GUACARI;PICHICHI
VALLE;LA UNION;SIN DATO
VALLE;LA UNION;SAN LUIS
VALLE;YUMBO;NO APLICA
VALLE;BOLIVAR;LA TULIA
VALLE;ZARZAL;GUASIMAL
VALLE;GUADALAJARA DE BUGA;LA HABANA
VALLE;DAGUA;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;ROLDANILLO;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;YUMBO;NO APLICA
VALLE;RESTREPO;AGUALINDA
VALLE;DAGUA;SIN DATO
VALLE;DAGUA;SAN VICENTE
VALLE;CALIMA;LA GAVIOTA
VALLE;LA CUMBRE;NO APLICA
VALLE;JAMUNDI;NO APLICA
VALLE;ARGELIA;NO APLICA
VALLE;LA UNION;QUEBRADA GRANDE
VALLE;CALIMA;SIN DATO
VALLE;EL AGUILA;CATARINA
VALLE;RIOFRIO;LA ZULIA
VALLE;DAGUA;SIN DATO
VALLE;VERSALLES;EL BALSAL
VALLE;VERSALLES;SIN DATO
VALLE;TRUJILLO;VENECIA
VALLE;CALIMA;EL MIRADOR
VALLE;ANSERMANUEVO;EL VERGEL
VALLE;ZARZAL;VALLEJUELO
VALLE;YUMBO;SIN DATO
VALLE;TRUJILLO;SIN DATO
VALLE;TULUA;LA IBERIA
VALLE;DAGUA;VILLA HERMOSA
VALLE;DAGUA;SIN DATO
VALLE;YOTOCO;MIRAVALLE
VALLE;LA CUMBRE;NO APLICA
VALLE;DAGUA;NO APLICA
VALLE;CALI;SAN PABLO
VALLE;DAGUA;SIN DATO
VALLE;YOTOCO;SAN JUAN
VALLE;CAICEDONIA;SIN DATO
VALLE;GUADALAJARA DE BUGA;LA MARIA
VALLE;RESTREPO;CALIMITA
VALLE;VERSALLES;SIN DATO
VALLE;DAGUA;EL PALMAR
VALLE;YUMBO;NO APLICA
VALLE;BOLIVAR;SIN DATO
VALLE;YUMBO;SIN DATO
VALLE;BOLIVAR;LA PRIMAVERA
VALLE;LA UNION;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;DAGUA;EL PALMAR
VALLE;BOLIVAR;SIN DATO
VALLE;SAN PEDRO;SIN DATO
VALLE;BOLIVAR;NARANJAL
VALLE;DAGUA;SIN DATO
VALLE;YUMBO;SIN DATO
VALLE;OBANDO;SIN DATO
VALLE;LA CUMBRE;SANTA FE
VALLE;ULLOA;SIN DATO
VALLE;ROLDANILLO;SIN DATO
VALLE;YOTOCO;CALIMITA
VALLE;DAGUA;SIN DATO
VALLE;RESTREPO;EL AGRADO
VALLE;TRUJILLO;SIN DATO
VALLE;BOLIVAR;SIN DATO
VALLE;TRUJILLO;SIN DATO
VALLE;YUMBO;SIN DATO
VALLE;YUMBO;SIN DATO
VALLE;RIOFRIO;SIN DATO
VALLE;CALIMA;SANTA ELENA
VALLE;EL CERRITO;SIN DATO
VALLE;LA CUMBRE;SIN DATO
VALLE;YUMBO;SIN DATO
VALLE;LA CUMBRE;SIN DATO
VALLE;EL AGUILA;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;DAGUA;SAN JOSÉ DEL SALADO
VALLE;GUADALAJARA DE BUGA;SIN DATO
VALLE;ZARZAL;SIN DATO
VALLE;VERSALLES;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;BOLIVAR;NO APLICA
VALLE;BOLIVAR;SIN DATO
VALLE;DAGUA;SAN JOSÉ DEL SALADO
VALLE;TRUJILLO;SIN DATO
VALLE;BOLIVAR;SIN DATO
VALLE;GUACARI;SIN DATO
VALLE;EL AGUILA;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;YUMBO;NO APLICA
VALLE;VIJES;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;YOTOCO;SIN DATO
VALLE;SEVILLA;NO APLICA
VALLE;DAGUA;SIN DATO
VALLE;LA CUMBRE;SIN DATO
VALLE;RIOFRIO;RIOFRÍO
VALLE;SEVILLA;LA ESTRELLA
VALLE;EL CAIRO;LLANOGRANDE
VALLE;BUGALAGRANDE;SIN DATO
VALLE;LA VICTORIA;SIN DATO
VALLE;SEVILLA;NO APLICA
VALLE;PRADERA;LOMITAS
VALLE;EL AGUILA;SIN DATO
VALLE;GUADALAJARA DE BUGA;SIN DATO
VALLE;CALI;PEON
VALLE;OBANDO;SIN DATO
VALLE;GUACARI;EL PLACER
VALLE;CALIMA;EL DIAMANTE
VALLE;GUADALAJARA DE BUGA;PUEBLO NUEVO
VALLE;GUADALAJARA DE BUGA;SIN DATO
VALLE;TRUJILLO;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;SEVILLA;SIN DATO
VALLE;SEVILLA;BUENOS AIRES
VALLE;EL CAIRO;SIN DATO
VALLE;ARGELIA;MARACAIBO
VALLE;OBANDO;SIN DATO
VALLE;OBANDO;BUENOS AIRES
VALLE;ROLDANILLO;SIN DATO
VALLE;LA CUMBRE;CHICORAL
VALLE;LA CUMBRE;SIN DATO
VALLE;TRUJILLO;SIN DATO
VALLE;DAGUA;SANTA MARÍA
VALLE;EL CAIRO;LA MIRANDA
VALLE;YUMBO;SIN DATO
VALLE;EL DOVIO;SIN DATO
VALLE;EL DOVIO;SIN DATO
VALLE;EL DOVIO;SIN DATO
VALLE;EL DOVIO;SIN DATO
VALLE;CALIMA;VERGEL
VALLE;DAGUA;SIN DATO
VALLE;EL CAIRO;SIN DATO
VALLE;BUGALAGRANDE;SIN DEFINIR
VALLE;EL CERRITO;SIN DATO
VALLE;ALCALA;EL EDEN
VALLE;JAMUNDI;BOCAS DEL PALO
VALLE;CAICEDONIA;SIN DATO
VALLE;OBANDO;SIN DATO
VALLE;CALIMA;LA GUAIRA
VALLE;RIOFRIO;SIN DEFINIR
VALLE;LA UNION;PAJARO DE ORO
VALLE;CAICEDONIA;CRUCERO
VALLE;PALMIRA;EXPANSION URBANA
VALLE;YOTOCO;NO APLICA
VALLE;RESTREPO;SAN SALVADOR
VALLE;TRUJILLO;SIN DATO
VALLE;LA UNION;EL RINCON
VALLE;TRUJILLO;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;YUMBO;MEDIO DAPA
VALLE;GUADALAJARA DE BUGA;SIN DATO
VALLE;SEVILLA;SIN DATO
VALLE;VERSALLES;SIN DATO
VALLE;CAICEDONIA;BOLIVIA
VALLE;VIJES;SIN DATO
VALLE;EL AGUILA;SIN DATO
VALLE;CALIMA;LA GAVIOTA
VALLE;EL AGUILA;SIN DATO
VALLE;CALI;NO APLICA
VALLE;TRUJILLO;SIN DATO
VALLE;LA VICTORIA;SIN DATO
VALLE;LA CUMBRE;PAVITAS
VALLE;YOTOCO;NO APLICA
VALLE;PRADERA;POTRERITO
VALLE;DAGUA;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;RESTREPO;SIN DATO
VALLE;JAMUNDI;NO APLICA
VALLE;PALMIRA;NO APLICA
VALLE;GUADALAJARA DE BUGA;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;YOTOCO;PUENTETIERRA
VALLE;YOTOCO;EL CANEY
VALLE;VIJES;OCACHE
VALLE;VIJES;OCACHE
VALLE;JAMUNDI;SIN DATO
VALLE;TRUJILLO;SIN DATO
VALLE;DAGUA;SIN DATO
VALLE;JAMUNDI;NO APLICA
VALLE;CALIMA;EL LLANITO
VALLE;CAICEDONIA;AURES
VALLE;GUADALAJARA DE BUGA;SIN DATO
VALLE;VERSALLES;PUENTE TIERRA
VALLE;BOLIVAR;SIN DATO
VALLE;SAN PEDRO;LOS CHANCOS
VALLE;JAMUNDI;SIN DATO
VALLE;DAGUA;EL PALMAR
VALLE;RIOFRIO;RIOFRÍO
VALLE;DAGUA;ZABALETAS
VALLE;JAMUNDI;SIN DATO
VALLE;TRUJILLO;SIN DATO
VALLE;ANSERMANUEVO;EL REAL PLACER
VALLE;CANDELARIA;VILLAGORGONA
VALLE;YOTOCO;BUENOSAIRES
VALLE;LA CUMBRE;AGUACLARA
VALLE;DAGUA;SIN DATO
VALLE;DAGUA;PROVIDENCIA
